time,r_pns,mass_pns
0.213,152.57856,0.976085110663984
0.214,145.57556,0.997798340040241
0.215,138.89397,1.01998174044266
0.216,132.51906,1.04479230382294
0.217,120.63358,1.06325724346076
0.218,138.89397,1.10668848088531
0.219,132.51906,1.12356126760563
0.22,82.83765,1.11405588531187
0.221,68.644783,1.1208111167002
0.222,65.494146,1.13181076458753
0.223,65.494146,1.15186262575453
0.224,68.644783,1.17518284708249
0.225,68.644783,1.18351322937626
0.226,68.644783,1.19475347082495
0.227,71.946985,1.21230643863179
0.228,71.946985,1.22342077464789
0.229,71.946985,1.234423138833
0.23,75.40804,1.24550940643863
0.231,79.035592,1.2578282193159
0.232,82.83765,1.26928138832998
0.233,86.822608,1.27917489939638
0.234,86.822608,1.28408858148893
0.235,87.395827,1.29414124748491
0.236,85.088169,1.29989894366197
0.237,86.279214,1.30694004024145
0.238,86.822608,1.31206830985915
0.239,89.824698,1.319598138833
0.24,92.494945,1.32632213279678
0.241,94.29332,1.332171277666
0.242,95.376843,1.33851413480885
0.243,94.769256,1.34304703219316
0.244,95.029537,1.34683068410463
0.245,95.376843,1.35022253521127
0.246,96.373701,1.35305855130785
0.247,99.965007,1.36160774647887
0.248,99.965007,1.36367449698189
0.249,99.965007,1.36723591549296
0.25,96.175238,1.36651740442656
0.251,95.530735,1.36949884305835
0.252,95.772622,1.37252132796781
0.253,97.720064,1.37664411468813
0.254,89.069571,1.36792303822938
0.255,95.750147,1.37806649899396
0.256,93.257601,1.37832691146881
0.257,87.850994,1.37449144869215
0.258,86.602157,1.37620216297787
0.259,87.081275,1.38013621730382
0.26,85.814961,1.38202464788732
0.261,89.708279,1.38989803822938
0.262,86.888331,1.38839959758551
0.263,82.98077,1.38548375251509
0.264,85.057333,1.39046534205231
0.265,84.594882,1.39249230382294
0.266,83.268473,1.39357515090543
0.267,82.835435,1.39613918511066
0.268,82.337761,1.39824361167002
0.269,82.485337,1.40101182092555
0.27,83.960768,1.40510513078471
0.271,82.848083,1.40643878269618
0.272,82.70521,1.40894411468813
0.273,81.888979,1.41027520120724
0.274,82.50601,1.41331458752515
0.275,82.630159,1.41599310865191
0.276,82.162493,1.41785437625755
0.277,81.546467,1.41958174044266
0.278,81.038453,1.42141036217304
0.279,81.511866,1.42415080482897
0.28,81.551511,1.42618722334004
0.281,80.798325,1.42760764587525
0.282,80.594979,1.4296838028169
0.283,80.391208,1.43171177062374
0.284,80.517732,1.4340305331992
0.285,80.259627,1.43607354124748
0.286,80.213369,1.43817736418511
0.287,80.09401,1.44011901408451
0.288,79.957335,1.44198576458753
0.289,80.060069,1.44406634808853
0.29,79.917732,1.44598521126761
0.291,79.628474,1.44785256539235
0.292,79.402133,1.44983677062374
0.293,79.471238,1.45198088531187
0.294,79.436607,1.45397540241449
0.295,79.198943,1.45578013078471
0.296,79.150089,1.45770709255533
0.297,78.951152,1.4594393360161
0.298,78.796946,1.46122258551308
0.299,78.64076,1.46302002012072
0.3,78.488901,1.4647838028169
0.301,77.989691,1.46625558350101
0.302,77.909872,1.4680629778672
0.303,77.953781,1.46991292756539
0.304,77.680046,1.47154964788732
0.305,77.508364,1.47324708249497
0.306,77.425626,1.47494310865191
0.307,77.253026,1.47657027162978
0.308,77.165554,1.47827374245473
0.309,76.821492,1.47980196177062
0.31,76.444132,1.48136478873239
0.311,76.33152,1.4830485915493
0.312,76.370805,1.4848245472837
0.313,76.00473,1.48625125754527
0.314,75.756742,1.48777263581489
