time,r_pns,mass_pns
0.213,184.12542,1.03471846076459
0.214,175.67449,1.04752193158954
0.215,167.61143,1.0608856639839
0.216,167.61143,1.08609798792757
0.217,152.57856,1.09546167002012
0.218,175.67449,1.13620930583501
0.219,192.98289,1.16558229376258
0.22,148.76944,1.15305226358149
0.221,115.09678,1.15167852112676
0.222,104.77389,1.16422077464789
0.223,99.965007,1.17853143863179
0.224,95.376843,1.19198546277666
0.225,82.83765,1.20220719315895
0.226,79.035592,1.21447193158954
0.227,82.83765,1.22781041247485
0.228,82.83765,1.23934205231388
0.229,82.83765,1.25010865191147
0.23,86.822608,1.26097867203219
0.231,90.999265,1.2711990945674
0.232,92.166,1.28030221327968
0.233,96.254266,1.28939336016097
0.234,99.965007,1.29788853118712
0.235,98.799036,1.30514456740443
0.236,94.715124,1.31149265593561
0.237,95.359048,1.31842434607646
0.238,95.376843,1.32432258551308
0.239,99.412151,1.33105196177062
0.24,101.92678,1.33674823943662
0.241,104.76937,1.34280115694165
0.242,104.77389,1.34753853118712
0.243,104.68361,1.35279139839034
0.244,104.56633,1.35714919517103
0.245,104.77389,1.360221277666
0.246,106.55561,1.36460548289738
0.247,109.8141,1.37050754527163
0.248,109.83334,1.37270829979879
0.249,109.8141,1.37630095573441
0.25,109.02933,1.37909240442656
0.251,105.23794,1.37960100603622
0.252,105.74911,1.38359034205231
0.253,108.43595,1.38821046277666
0.254,98.643205,1.37983314889336
0.255,106.24208,1.39082977867203
0.256,104.81591,1.39218732394366
0.257,99.175479,1.38934049295775
0.258,96.42651,1.38926076458753
0.259,97.453189,1.39373420523139
0.26,95.430507,1.39483279678068
0.261,99.033569,1.40147042253521
0.262,96.597243,1.40040528169014
0.263,91.589372,1.39689688128773
0.264,94.539294,1.40220407444668
0.265,94.028237,1.40427957746479
0.266,92.494528,1.40508863179074
0.267,91.112775,1.40647937625755
0.268,90.880093,1.40884290744467
0.269,90.953437,1.4113819416499
0.27,93.643459,1.41632520120724
0.271,91.531238,1.41654054325956
0.272,90.917711,1.41839330985916
0.273,90.447044,1.42010226358149
0.274,91.603302,1.42344486921529
0.275,91.350691,1.42560950704225
0.276,90.667321,1.4271680583501
0.277,90.063033,1.42888133802817
0.278,89.731034,1.43082530181086
0.279,89.895217,1.43305407444668
0.28,90.340644,1.43519874245473
0.281,89.577235,1.43661006036217
0.282,89.282101,1.4385083501006
0.283,89.113701,1.44044004024145
0.284,89.339513,1.44270663983903
0.285,88.930346,1.44451710261569
0.286,88.908418,1.44646569416499
0.287,88.658735,1.44815845070423
0.288,88.462494,1.4498777665996
0.289,88.626518,1.45186690140845
0.29,88.491335,1.45363958752515
0.291,88.287285,1.45549532193159
0.292,88.052451,1.45735523138833
0.293,88.087017,1.4593402917505
0.294,87.989782,1.4611717806841
0.295,87.750001,1.46290407444668
0.296,87.694182,1.46467263581489
0.297,87.513292,1.46636680080483
0.298,87.229401,1.46798883299799
0.299,87.062146,1.46970482897384
0.3,86.855258,1.47134522132797
0.301,86.38829,1.47279617706237
0.302,86.227131,1.4744014084507
0.303,86.243895,1.47614170020121
0.304,86.017033,1.4777560362173
0.305,85.758062,1.4792856639839
0.306,85.695537,1.48090120724346
0.307,85.505247,1.48245306841046
0.308,85.454762,1.48408596579477
0.309,85.273622,1.4856680583501
0.31,84.808675,1.48712721327968
0.311,84.708592,1.48874984909457
0.312,84.675507,1.49036846076459
0.313,84.415435,1.49181735412475
0.314,84.096906,1.49325020120724
0.315,83.855723,1.49467510060362
0.316,83.742878,1.49615160965795
0.317,83.218833,1.49742092555332
0.318,83.04976,1.49884386317907
0.319,82.924573,1.50023556338028
0.32,82.651687,1.50159210261569
0.321,82.42553,1.50299426559356
0.322,82.102111,1.50437505030181
0.323,81.909407,1.50574527162978
0.324,81.539311,1.50699341046278
0.325,81.086468,1.50814894366197
0.326,81.239658,1.50959079476861
0.327,80.824021,1.51082967806841
0.328,80.407706,1.51208571428571
0.329,80.372544,1.51344994969819
0.33,79.921132,1.51455895372233
0.331,79.774614,1.51576790744467
0.332,79.56508,1.5169601609658
0.333,79.163452,1.51810744466801
0.334,78.91997,1.51932399396378
0.335,78.417758,1.5203666498994
0.336,78.404149,1.52158581488934
0.337,78.325688,1.52279436619718
0.338,78.200832,1.52406207243461
0.339,77.725601,1.52524129778672
0.34,77.592743,1.52651715291751
0.341,77.205183,1.52758229376258
0.342,76.881115,1.52868028169014
0.343,76.754671,1.52981534205231
0.344,76.38202,1.53085513078471
0.345,76.038595,1.53194758551308
0.346,75.340771,1.5328560362173
0.347,75.34727,1.53393390342052
0.348,75.112344,1.53501614688129
0.349,74.978585,1.53613822937626
0.35,74.483811,1.53709391348089
0.351,74.592875,1.53828752515091
0.352,74.617994,1.53946338028169
0.353,74.148379,1.54044803822938
0.354,74.026557,1.54149683098592
0.355,74.005475,1.54253757545272
0.356,73.22307,1.54337635814889
0.357,72.849463,1.54431825955734
0.358,72.75326,1.54529572434608
0.359,72.727078,1.54631569416499
0.36,72.437801,1.54726956740443
0.361,72.233402,1.54833495975855
0.362,72.070133,1.54930699195171
0.363,71.948076,1.55033153923541
0.364,71.937188,1.55144522132797
0.365,71.774084,1.55245699195171
0.366,71.702705,1.55354431589537
0.367,71.577296,1.5545564889336
0.368,70.98641,1.5554240945674
0.369,70.88232,1.55643445674044
0.37,70.957608,1.55743284708249
0.371,70.703842,1.55838913480885
0.372,70.239385,1.55932424547284
0.373,70.273769,1.56035759557344
0.374,70.127172,1.56132761569417
0.375,69.943932,1.56224597585513
0.376,69.586013,1.56313928571429
0.377,69.476676,1.56409587525151
0.378,69.399529,1.56507077464789
0.379,69.258631,1.56602952716298
0.38,68.607971,1.56681177062374
0.381,68.845877,1.56778923541247
0.382,68.248224,1.56856926559356
0.383,67.982449,1.56946569416499
0.384,67.886331,1.57037339034205
0.385,67.946506,1.57133868209256
0.386,67.473956,1.57218868209256
0.387,67.381456,1.57307238430583
0.388,66.932224,1.57384250503018
0.389,67.071313,1.57480809859155
0.39,66.808091,1.57566524144869
0.391,66.913025,1.57662756539235
0.392,66.867967,1.57755669014085
0.393,66.516549,1.57841488933602
0.394,66.434219,1.57932505030181
0.395,66.035676,1.58015965794769
0.396,65.905642,1.58100754527163
0.397,65.448844,1.58178983903421
0.398,65.163294,1.58258988933602
0.399,64.846968,1.58335860160966
0.4,64.896882,1.58425085513078
0.401,64.563247,1.58506358148893
0.402,64.845261,1.58604818913481
0.403,64.602579,1.58692635814889
0.404,64.157034,1.58773883299799
0.405,64.006839,1.58852122736418
0.406,63.897863,1.58928038229376
0.407,63.775125,1.59011488933602
0.408,63.479635,1.5909138832998
0.409,63.369933,1.59168395372233
0.41,62.791777,1.59230135814889
0.411,62.813871,1.59309522132797
0.412,62.929805,1.59395256539235
0.413,62.957439,1.59481624748491
0.414,62.922804,1.59568395372233
0.415,63.148481,1.596601861167
0.416,63.477607,1.59762132796781
0.417,62.55651,1.59836247484909
0.418,62.856932,1.59921755533199
0.419,62.032422,1.59981685110664
0.42,61.973491,1.60059728370221
0.421,62.175985,1.60142263581489
0.422,62.047466,1.60222987927565
0.423,61.637928,1.60299205231388
0.424,61.73584,1.60376906438632
0.425,61.655286,1.60460005030181
0.426,61.666637,1.60548259557344
0.427,61.33127,1.60626151911469
0.428,61.2361,1.60699471830986
0.429,60.993514,1.60773802816901
0.43,60.753897,1.60848128772636
0.431,60.663928,1.60927208249497
0.432,60.587273,1.61007419517103
0.433,60.764664,1.61088224346076
0.434,60.388082,1.61165130784708
0.435,60.224004,1.61244904426559
0.436,60.207296,1.61321262575453
0.437,59.932983,1.61389844064386
0.438,59.965517,1.61474979879276
0.439,59.947298,1.61557716297787
0.44,59.789273,1.61634698189135
0.441,59.705567,1.61711629778672
0.442,59.27587,1.61782137826962
0.443,59.102475,1.6185509054326
0.444,59.333031,1.61936056338028
0.445,59.41768,1.6201870221328
0.446,58.994849,1.62095352112676
0.447,58.982465,1.62168264587525
0.448,58.804006,1.62239099597586
0.449,58.640264,1.62317560362173
0.45,58.548074,1.62394476861167
0.451,58.388489,1.62463214285714
0.452,58.219436,1.6253347082495
0.453,58.087911,1.62604773641851
0.454,58.281999,1.62682982897384
0.455,57.994434,1.62757565392354
0.456,57.670819,1.62822947686117
0.457,57.620107,1.62891780684105
0.458,57.331508,1.62958455734406
0.459,57.348003,1.63030201207243
0.46,57.110539,1.63096383299799
0.461,57.111554,1.63168450704225
0.462,57.306825,1.63249572434608
0.463,57.057244,1.63323812877264
0.464,57.174573,1.63400316901408
0.465,56.489821,1.63459134808853
0.466,56.385775,1.63527550301811
0.467,56.147839,1.63591121730382
0.468,56.098363,1.63662218309859
0.469,56.118551,1.63732263581489
0.47,56.242469,1.63804552313883
0.471,56.427798,1.63882193158954
0.472,56.197278,1.63951559356137
0.473,55.987335,1.6401444668008
0.474,55.896283,1.64087535211268
0.475,55.675877,1.64154567404427
0.476,55.516257,1.64218667002012
0.477,55.205344,1.64280291750503
0.478,55.189501,1.64345885311871
0.479,55.352342,1.64421438631791
0.48,55.3037,1.6449370221328
0.481,55.257895,1.64564019114688
0.482,55.137749,1.64635578470825
0.483,54.84513,1.6469782193159
0.484,55.177473,1.64770196177062
0.485,55.028884,1.6484254527163
0.486,54.9816,1.64912303822938
0.487,54.766441,1.64977107645875
0.488,54.626314,1.65044597585513
0.489,54.321846,1.65109839034205
0.49,54.180607,1.65175845070423
0.491,53.861631,1.65238672032193
0.492,53.436089,1.65296956740443
0.493,53.623566,1.65362811871227
0.494,53.393963,1.65425769617706
0.495,53.475734,1.65491765593561
0.496,53.333213,1.65552711267606
0.497,53.687487,1.6562638832998
0.498,53.176457,1.65687152917505
0.499,53.394233,1.65754899396378
0.5,53.067088,1.658201861167
0.501,53.32969,1.65889200201207
0.502,53.264583,1.65956891348089
0.503,53.133029,1.66023098591549
0.504,53.162517,1.66090150905433
0.505,53.036039,1.66156549295775
0.506,53.209846,1.66227756539235
0.507,52.737729,1.66285583501006
0.508,52.59438,1.66346177062374
0.509,52.279878,1.66403319919517
0.51,52.475696,1.66466061368209
0.511,52.287737,1.66529517102616
0.512,52.368369,1.66595855130785
0.513,52.471194,1.6666388832998
0.514,52.083158,1.66724788732394
0.515,51.765555,1.66780653923541
0.516,51.546251,1.66840181086519
0.517,51.862912,1.66908093561368
0.518,51.806182,1.66973767605634
0.519,51.821329,1.6704009054326
0.52,51.846593,1.67107052313883
0.521,51.401088,1.67164597585513
0.522,51.290759,1.67222258551308
0.523,51.316544,1.67286478873239
0.524,51.020327,1.67344934607646
0.525,50.949577,1.67401368209256
0.526,50.895408,1.67463153923541
0.527,50.863364,1.67525487927565
0.528,50.710026,1.67583506036217
0.529,50.613621,1.67644210261569
0.53,50.416624,1.67701292756539
0.531,50.592536,1.67766252515091
0.532,50.28126,1.67823319919517
0.533,50.363819,1.67883063380282
0.534,50.407439,1.6794555331992
0.535,50.516657,1.6800884305835
0.536,50.294364,1.68071785714286
0.537,50.165247,1.68129924547284
0.538,50.143978,1.68192213279678
0.539,50.063468,1.68251901408451
0.54,49.986706,1.68313561368209
0.541,50.078036,1.68377263581489
0.542,49.960941,1.68436730382294
0.543,49.774823,1.68494798792757
0.544,49.683472,1.68554481891348
0.545,49.45009,1.68610754527163
0.546,49.143393,1.68663667002012
0.547,49.263037,1.68723641851107
0.548,48.953601,1.68781096579477
0.549,49.219926,1.6884004527163
0.55,49.154171,1.68900407444668
0.551,49.176522,1.68960176056338
0.552,48.925206,1.6901615694165
0.553,48.831684,1.69072555331992
0.554,48.721283,1.69131886317907
0.555,48.482992,1.6918527665996
0.556,48.31001,1.69238400402414
0.557,48.379917,1.6929726861167
0.558,48.384898,1.69356841046278
0.559,48.431971,1.69415809859155
0.56,47.981201,1.69467424547284
0.561,48.022804,1.69519612676056
0.562,48.014455,1.69578853118712
0.563,48.275599,1.69640548289738
0.564,48.301057,1.69700246478873
0.565,48.131135,1.69759300804829
0.566,46.585289,1.69802997987928
0.567,48.330258,1.69873777665996
0.568,48.600842,1.69944587525151
0.569,47.169286,1.69986272635815
0.57,48.376076,1.70053395372233
0.571,47.838965,1.70108375251509
0.572,47.500051,1.70162711267606
0.573,48.051513,1.70226911468813
0.574,47.635761,1.70282193158954
0.575,47.286581,1.70336237424547
0.576,47.606505,1.70395749496982
0.577,47.437763,1.70452811871227
0.578,47.327177,1.70507218309859
0.579,47.586629,1.70567605633803
0.58,47.389864,1.70622228370221
0.581,46.990158,1.70673219315895
0.582,47.219984,1.70732550301811
0.583,46.921741,1.70787057344064
0.584,46.793414,1.7084069416499
0.585,46.824151,1.70895020120724
0.586,46.820966,1.70951670020121
0.587,46.4788,1.710053722334
0.588,46.421493,1.71059054325956
0.589,46.170299,1.71107434607646
0.59,46.180464,1.71162414486922
0.591,46.44704,1.71223953722334
0.592,46.092468,1.71271815895372
0.593,46.022329,1.71325870221328
0.594,46.089584,1.71380191146881
0.595,46.070893,1.71436167002012
0.596,45.793267,1.71484758551308
0.597,45.711462,1.71530850100604
0.598,45.678344,1.71578707243461
0.599,45.526365,1.71627429577465
0.6,45.398276,1.7166180583501
0.601,45.441436,1.71706026156942
0.602,45.533361,1.71752520120724
0.603,45.485392,1.71799597585513
0.604,45.315441,1.71846604627767
0.605,45.122465,1.71888591549296
0.606,45.123726,1.71934285714286
0.607,45.201185,1.71983023138833
0.608,45.180998,1.72036886317907
0.609,44.93101,1.72075331991952
0.61,44.953036,1.72115010060362
0.611,45.278408,1.72175211267606
0.612,44.997466,1.72225940643863
0.613,44.563422,1.72263169014085
0.614,44.47943,1.72322610663984
0.615,44.685249,1.72405623742455
0.616,44.57418,1.72444200201207
0.617,44.333383,1.72503752515091
0.618,44.275652,1.72565201207243
0.619,44.542057,1.72620211267606
0.62,44.238001,1.72658777665996
0.621,43.902986,1.72712625754527
0.622,44.046908,1.72750804828974
0.623,44.382721,1.72819240442656
0.624,44.041358,1.72865075452716
0.625,43.77263,1.7290384305835
0.626,43.840489,1.72964522132797
0.627,43.992119,1.73033858148893
0.628,43.853351,1.73074114688129
0.629,43.295638,1.7311435110664
0.63,43.409133,1.73144034205231
0.631,43.754788,1.73210080482897
0.632,43.615939,1.73253274647887
0.633,43.30385,1.73294839034205
0.634,43.42392,1.73365377263581
0.635,43.661733,1.73412384305835
0.636,43.427968,1.73477208249497
0.637,43.21301,1.73516700201207
0.638,43.327608,1.73575734406439
0.639,43.465042,1.7361735915493
0.64,43.415247,1.7366134305835
0.641,42.852187,1.73713179074447
0.642,43.038491,1.73762193158954
0.643,43.299673,1.73822062374245
0.644,43.15935,1.7387884305835
0.645,42.813315,1.73932062374245
0.646,42.864921,1.7397176056338
0.647,43.052971,1.74036775653924
0.648,42.755532,1.74088591549296
0.649,42.323162,1.74126151911469
0.65,42.52139,1.74176936619718
0.651,42.858099,1.74233661971831
0.652,42.491035,1.74266237424547
0.653,42.239179,1.74313229376258
0.654,42.50889,1.74349733400402
0.655,42.770591,1.74407137826962
0.656,42.531382,1.74453038229376
0.657,42.296876,1.74503083501006
0.658,42.492858,1.74546604627767
0.659,42.852251,1.7459347082495
0.66,42.546289,1.74651267605634
0.661,42.079213,1.74682203219316
0.662,42.407478,1.74738048289738
0.663,42.531529,1.74782676056338
0.664,42.144136,1.74844406438632
0.665,41.764128,1.74883913480885
0.666,41.954743,1.74927374245473
0.667,42.231588,1.74957837022133
0.668,41.716679,1.75017052313883
0.669,41.585028,1.75050211267606
0.67,41.717154,1.75098400402414
0.671,41.799165,1.75145658953722
0.672,41.542345,1.75195055331992
0.673,41.348121,1.75222052313883
0.674,41.761883,1.75273511066398
0.675,41.596637,1.75351911468813
0.676,41.19853,1.75383169014085
0.677,41.249656,1.75432635814889
0.678,41.487,1.75488511066398
0.679,41.497492,1.75540241448692
0.68,41.083405,1.75572510060362
0.681,41.169602,1.75618199195171
0.682,41.604746,1.75677816901408
0.683,41.458611,1.7572402917505
0.684,41.08953,1.75771267605634
0.685,41.33179,1.75821785714286
0.686,41.599096,1.75865040241449
0.687,41.358188,1.75909834004024
0.688,41.138941,1.75956257545272
0.689,41.255618,1.7600384305835
0.69,41.432557,1.76053963782696
0.691,41.259762,1.76092308853119
0.692,41.018443,1.76137786720322
0.693,41.032011,1.76177826961771
0.694,41.132725,1.76222474849095
0.695,40.930499,1.76267947686117
0.696,40.841847,1.76304758551308
0.697,40.861551,1.76349879275654
0.698,41.062311,1.76401141851107
0.699,40.851928,1.76446483903421
0.7,40.851928,1.76489401408451
0.701,40.686344,1.76527444668008
0.702,40.951913,1.76567339034205
0.703,40.38677,1.76610105633803
0.704,40.289209,1.76654567404427
0.705,40.460244,1.7671171529175
0.706,40.458613,1.76744834004024
0.707,40.510714,1.76795950704225
0.708,40.342641,1.76835010060362
0.709,40.362701,1.76878319919517
0.71,40.44515,1.7691796277666
0.711,40.367682,1.76967977867203
0.712,40.078447,1.7700365694165
0.713,40.301723,1.77045729376258
0.714,40.542082,1.77106473843058
0.715,40.109487,1.77141116700201
0.716,40.204527,1.77185155935614
0.717,40.408592,1.77235412474849
0.718,39.936398,1.77275377263581
0.719,39.991443,1.7731823943662
0.72,40.028142,1.77362162977867
0.721,40.234874,1.77411332997988
0.722,39.969449,1.7744685110664
0.723,40.006574,1.77495005030181
0.724,39.888969,1.77534230382294
0.725,39.872547,1.77579300804829
0.726,39.758044,1.77620316901408
0.727,39.568838,1.77653521126761
0.728,39.581929,1.77702193158954
0.729,39.665181,1.77744612676056
0.73,39.748506,1.77793646881288
